Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK5:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK3:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK2:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK5:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK3:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK2:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 09/01  01:00:00,12.,88.,1.9,230.,0.0,0.0,31572.2790550218,1.21295314099828,0.0,18.7827133046864,16.3516983844061,18.8086209618506,14.0517262516292,19.0428827997893,15.0658250910856,17.3576390435195,18.2899104344444,13.2433738880763,15.5141707329999,13.7784879936158,-1.17548299298841,-1.75068228123655,-3.81974086450807,-1.29333058497833,-3.49570731586135,-0.884639724730403,-1.07933377475206,-1.19744768045247,-2.5549465897971,-1.18913209989537,-2.50132131398608 
 09/01  02:00:00,11.1,87.,2.,230.,0.0,0.0,29303.1249343966,1.21783044568513,0.0,18.8074516163059,16.2470529692034,18.4350116459581,17.4007586249745,19.3548732650305,17.2970272765549,17.7300611510986,17.9915170349893,13.117905737397,17.5180193564433,13.5880537265877,-1.15242776007365,-1.78483501127498,-3.70816395664415,-2.39061973344059,-3.56722927945105,-1.66314744041566,-1.41677447631664,-1.27934126353717,-2.55488227707146,-1.73352556084991,-2.41735147191495 
 09/01  03:00:00,10.2,87.,2.1,230.,0.0,0.0,27319.1901926612,1.22252177757105,0.0,18.6824662336364,16.2463626363513,18.4761164935152,19.3996020451825,19.5668385532705,18.8863787972472,17.9032228928045,18.4511066150857,12.8764266012726,18.177758319044,13.2208947691421,-1.14826648285076,-1.80022421282468,-3.80961842665757,-1.86620062077744,-3.53752008915013,-1.37710727070177,-1.37293977116432,-1.3209728237076,-2.59267759092587,-1.43647731404825,-2.46985175231036 
 09/01  04:00:00,9.3,87.,2.2,230.,0.0,0.0,25376.9910255415,1.22843395669116,0.0,18.6130624653288,16.0828152893168,17.864276187905,19.8758950186465,19.1411744436427,19.40435080993,18.0910385668469,18.2242414280324,12.4962569839443,18.2564934005994,12.7800731093623,-1.16555286493484,-1.80894222390577,-3.83131127607789,-1.55395972598633,-3.49954954393481,-1.16754119006304,-1.35110945382811,-1.26853900843075,-2.65882246140846,-1.34534381649608,-2.55723071354499 
 09/01  05:00:00,8.8,87.,2.2,230.,0.0,0.0,24331.4702341255,1.23103049552874,0.0,18.5745522457341,16.0183329013281,18.2965834219674,20.0946249184095,19.7195252241126,19.6137241376469,18.8507854107578,18.4575295344635,12.1012711184333,18.2231726667432,12.3166044891126,-1.17731664243433,-1.84637158404271,-3.96131697549747,-1.48741781394789,-3.62738432587612,-1.11618485218601,-1.33056336780589,-1.31046147215977,-2.75076889922801,-1.34087196782744,-2.65991150386692 
 09/01  06:00:00,8.4,88.,2.1,230.,0.0,0.0,23666.5522161908,1.23420661517073,0.0,18.544643835784,15.8498080710227,18.3876889144634,20.1265757342662,19.1084972227771,19.6433672110625,19.1756507158733,18.2452761401905,11.6937706679124,18.1367681665565,11.9352990907437,-1.18509899243344,-1.87240360083074,-3.86115377186725,-1.45889594765763,-3.50583758355322,-1.104352292254,-1.23464667796893,-1.29051393484248,-2.84572923309931,-1.35527700642242,-2.76086332399989 
 09/01  07:00:00,7.9,89.,2.1,230.,0.0,0.0,22813.672442712,1.23667224522589,0.0,18.5040029654954,15.7777548752905,17.8813403075045,20.0897510901804,19.9640540782295,19.5932279385189,19.130989241437,18.5164657295512,11.3804008775252,18.0189797589385,11.5601078483108,-1.19258665313709,-1.91188615048353,-3.87007445429719,-1.46311264327687,-3.65917062225997,-1.12066804301642,-1.198722526081,-1.32979118514415,-2.93954684471501,-1.38030807757,-2.8494255705139 
 09/01  08:00:00,8.6,84.,2.3,230.,78.,43.,23371.4042314481,1.23371948196014,0.0,18.5471844250474,16.0148415468961,19.3680660878722,19.6412314264513,19.1681172813193,19.2893959629142,17.9891601462953,18.953873306168,13.4570433960846,18.0007362328131,12.6864905972816,-1.2016064037031,-1.93082397163747,-3.96443356398229,-1.4723666570528,-3.50132814007332,-1.10469418339618,-1.20285843161671,-1.29753374887473,-2.90801159099045,-1.39372497347985,-2.80507088191751 
 09/01  09:00:00,9.3,79.,2.6,270.,100.,147.,23874.520061799,1.23082377667705,0.0,18.5548741438536,15.9474180622363,19.6455225580705,19.17922311192,19.1361784718974,19.0170443893495,17.8060989645697,18.4738346015606,14.0427081970714,18.0002280361456,15.0936203689137,-1.19846666008872,-1.90100388578042,-3.65690212713849,-1.54994169776232,-3.66327809513963,-1.11139467309881,-1.36407271671932,-1.2390680423157,-2.49333366276347,-1.3891334012139,-2.41213103851096 
 09/01  10:00:00,10.,75.,2.8,270.,113.,203.,24527.7857734055,1.22660639686672,0.0,18.5846469568003,16.0548569619046,19.7119333201957,19.0780996011198,19.3839865492146,19.1282788950315,17.7965501632514,18.4025120999988,15.8259560694879,18.0001308377462,17.7996388261701,-1.20065198244883,-1.90619274621612,-3.59973173400254,-1.62179809866059,-3.67518965161966,-1.09186103996725,-1.39333417748617,-1.29810943598347,-2.27507145247805,-1.37471567454755,-1.78937486843084 
 09/01  11:00:00,10.7,71.,3.1,270.,273.,152.,25121.5901339522,1.22367199802342,0.0,18.6060199001601,16.1531405452721,19.6907171386973,19.3189541297835,19.8662386369079,19.5353354360399,17.9824723544151,18.3754993649281,16.8445840678209,18.2004886743692,20.4547951889902,-1.19865817172908,-1.88048179434159,-3.5803313340919,-1.60682171776234,-3.60554903010687,-0.980224291161792,-1.38388567832317,-1.30248248169896,-1.82792048976605,-1.32418062700438,-1.1225887640766 
 09/01  12:00:00,11.3,67.,3.3,270.,371.,122.,25484.7466128442,1.22006674129311,0.0,18.618747993516,16.5641159897647,19.7095974424898,19.6210640936916,19.1265587356984,19.924810008911,18.1495873523449,19.2266374388133,18.8251860722708,18.837692248535,22.7337672721058,-1.1977479936543,-1.84794515251406,-3.57926095341006,-1.53215340499493,-3.49328733355056,-0.829602095347797,-1.34395591960225,-1.29329801137619,-1.47241250918851,-1.23064087931746,-0.494851451134721 
 09/01  13:00:00,12.,64.,3.6,270.,344.,96.,26202.2601674522,1.21706640949154,0.0,18.5681993311881,17.3163107588117,17.398707854874,19.7439163235145,21.4686644255804,20.0904116132084,17.7830790080826,20.9380577254422,20.3859047604847,19.1105971328606,23.4480901536924,-1.19788341953821,-1.77355157135201,-3.57177357438287,-1.46785161841952,-3.65725784472957,-0.746125558055658,-1.31250868576885,-1.17408844745675,-1.04251330775377,-1.10240827967573,-9.096988421405765E-02 
 09/01  14:00:00,12.7,60.,3.8,270.,246.,83.,26665.1281741797,1.21306770486198,0.0,18.6600803615639,17.1006917768958,19.5120612960953,19.7220382141215,18.8885352917468,20.0977601598923,18.271041457219,19.3472932089702,19.482722636089,19.3701835331246,23.2817083675897,-1.20800448207566,-1.66279121501957,-4.0913886916502,-1.4494253209248,-3.19850367019874,-0.719151125230259,-1.37261702062097,-0.945714803694878,-0.865899106119002,-1.04609199307367,5.587895304376375E-03 
 09/01  15:00:00,13.4,57.,4.1,320.,226.,14.,27298.5103914998,1.21016328090291,0.0,18.7455393163571,17.0779142391062,19.83690654428,19.3723663914083,19.1255738655282,19.6681053997281,18.6472284438913,19.2532724926978,19.736003834104,19.6277748543016,21.7434751968739,-1.19707080899637,-1.67918845658497,-3.6399548571557,-1.45919435151248,-3.72865005183658,-0.749653395722122,-1.30659746581347,-1.16738927025803,-1.01670072275861,-1.00369339846322,-0.147794425558552 
 09/01  16:00:00,13.,61.,3.4,320.,83.,43.,27472.22877951,1.21261826211732,0.0,18.7523706248768,18.7080381621606,18.5468596463315,20.5003270416033,21.892959402171,20.490104298463,18.8016515623038,22.9648352094024,20.8873673049253,19.7942946126686,20.4504978458569,-1.18577957798742,-1.67093634223321,-3.56953788303711,-1.53586724050211,-3.6611902196536,-0.856806769230786,-1.26851030668924,-1.17042506342841,-1.05708904184451,-0.981751018761746,-0.516636582966843 
 09/01  17:00:00,12.7,65.,2.7,320.,124.,22.,27819.7466863072,1.21339153558059,0.0,18.733613364518,17.256817720024,19.3779268224532,19.4458333977783,18.9617092067002,19.7663179304935,18.4666961808226,19.1774262078671,19.4257186039852,19.7876873329776,19.5884487259779,-1.18452344167793,-1.4500036399219,-3.89353237095439,-1.36626406224829,-3.10465194880039,-0.770966598209793,-1.27521433662851,-0.663550998598222,-0.912507463849371,-0.959806422546224,-0.802651137155568 
 09/01  18:00:00,12.3,70.,2.,320.,79.,38.,28142.5340295704,1.21574155009309,0.0,18.7644079459574,17.1936810196506,17.3450125047323,19.7537512698593,19.2652373850703,19.7243392128883,18.6395573872211,19.2655348636377,19.796676212997,19.896951519786,18.804072229069,-1.18517824196037,-1.64176590329394,-3.68937087452327,-1.52175398758709,-3.69477669691,-0.884839035458551,-1.30496607823109,-1.16879636902,-1.17489014240187,-0.963285438441925,-1.01145493038456 
 09/01  19:00:00,12.,74.,1.4,320.,0.0,0.0,28402.4850431601,1.2177963986154,0.0,18.7703436086929,17.2835465071934,19.3753451859799,20.124839314709,19.5580185263701,20.0420824435334,19.2102668259599,19.7781672012615,19.5546613545262,19.8839346753249,17.2343058427556,-1.17953227313558,-1.65215429535891,-4.13641873923789,-1.47637450396908,-3.62664564934838,-0.933571474227593,-1.29208983706096,-1.16480578633528,-1.20718941819614,-0.969360882714246,-1.30136334611965 
 09/01  20:00:00,11.6,80.,0.7,320.,0.0,0.0,28869.4777480178,1.21883531485239,0.0,18.7519925789543,17.1128779733037,19.8947303522127,20.0183489661516,19.2364563430293,19.9001720067385,18.9785515394083,19.3827466257694,16.5482274626699,19.7256519251594,16.0470489273496,-1.17638178033721,-1.64566746939089,-3.69089377806077,-1.42179084758714,-3.56463251631857,-0.915646242694982,-1.21600100174385,-1.08747398087684,-1.35782177491051,-0.9885591238039,-1.64474154390007 
 09/01  21:00:00,11.3,85.,0.0,0.0,0.0,0.0,29270.2766926507,1.22078888257039,0.0,18.73792574695,17.1185080492582,18.3753061333645,20.7476697119668,19.7270480365361,20.3356467100722,19.7420617798033,20.0594320573146,15.4469524175358,19.5817670654597,15.1530905303893,-1.17528563686105,-1.67059779134319,-3.56950664566971,-1.43053590674127,-3.59742935004555,-0.944056799148002,-1.24423150929014,-1.14427285680587,-1.87523063679539,-1.02642522078763,-1.90274449208288 
 09/01  22:00:00,10.7,86.,0.0,0.0,0.0,0.0,28156.2449456594,1.22375769495389,0.0,18.7002339179165,16.9570997363667,18.1985224101873,20.7972825000676,19.1953826584967,20.4587790119649,19.7781327831929,19.7881368710239,14.6182877261518,19.4052199685151,14.4227000713182,-1.1732078042481,-1.67190408224061,-3.86790809290531,-1.32061031296325,-3.49578386857959,-0.897147022977629,-1.12718208005553,-1.04126628631665,-2.10542281180126,-1.06443661891296,-2.11114031557039 
 09/01  23:00:00,10.1,87.,0.0,0.0,0.0,0.0,27051.3748302525,1.22673258201536,0.0,18.672174646001,16.6462830228792,18.221234100663,20.8832821089928,19.651072970641,20.467253911798,19.8188676893439,18.9058970805896,13.8861606386123,19.2268542879872,13.7313859510503,-1.17119677426702,-1.69450622287304,-3.88642783925085,-1.31574827052884,-3.59056359688787,-0.898662789614879,-1.11800006062055,-1.07945802336643,-2.2850475088272,-1.10995003299959,-2.28767283178494 
 09/01  24:00:00,9.6,89.,0.1,0.0,0.0,0.0,26342.3546763718,1.23027668676795,0.0,18.6440312185043,16.4882335793468,18.1826563589421,20.8356673039053,18.9782353193952,20.411302100089,19.7826703803276,18.6517043527044,13.219547198206,19.0340856967553,13.1195816092894,-1.17376897200356,-1.74707024349874,-3.9136977089849,-1.30612890393085,-3.48641841940306,-0.914894678280458,-1.11084724869709,-1.2041622824428,-2.45269464477843,-1.15380551806939,-2.44977643383926 
 09/02  01:00:00,9.,90.,0.1,0.0,0.0,0.0,25245.9926950434,1.23327167345257,0.0,18.6116558478068,16.3676287521343,18.2353246959893,20.7691098008812,19.6686572979941,20.3267368162342,19.724245800581,18.7546134728309,12.6480866642215,18.8310487408823,12.5650101081061,-1.17708024588357,-1.78124520827158,-3.91511248898046,-1.31930687078731,-3.64462930179503,-0.941663633402255,-1.11662359945536,-1.24817968856067,-2.60426024481923,-1.2010688074211,-2.59427400275758 
 09/02  02:00:00,8.4,92.,0.1,0.0,0.0,0.0,24333.7933145797,1.23613600003925,0.0,18.5805867357534,16.1897604368432,18.4390390439281,20.6628338154625,19.1305034210357,20.2019105376351,19.6276316627536,18.5182156330079,12.0746996649388,18.6240931330884,12.0057436554425,-1.18197677357794,-1.81187819023099,-3.89127218913459,-1.33674404735183,-3.49601860610452,-0.9734852846992,-1.12723102951293,-1.24187394527231,-2.7415215318284,-1.25008395806506,-2.72937070952594 
 09/02  03:00:00,7.8,93.,0.1,0.0,0.0,0.0,23249.6634792194,1.23914768956231,0.0,18.5468585166516,16.2196014715342,18.0393875445858,20.5924182037662,19.9720437741135,20.1146792128892,19.560687716803,19.0071312302698,11.5946351139319,18.403289933046,11.4581604353652,-1.1875671491713,-1.85005219927563,-3.88807531265248,-1.36184496694241,-3.63514435701838,-1.01168084867224,-1.14478420795748,-1.28336435510945,-2.87658472043365,-1.29851254693078,-2.86429658640209 
 09/02  04:00:00,7.2,95.,0.1,0.0,0.0,0.0,22335.998845824,1.24203871931867,0.0,18.5139093625207,16.3643192060228,19.3879145234986,20.5167741716071,21.7200600265149,20.0205793736649,19.4882069015846,19.7721387234736,11.167004582197,18.1626038080743,10.8970578408306,-1.19462239645942,-1.86453405955913,-4.01736442282277,-1.38255967705539,-3.48396041499856,-1.04499017481702,-1.15886739036852,-1.23426556540867,-2.99957952596707,-1.35117961814173,-2.99780370182671 
 09/02  05:00:00,6.7,97.,0.2,0.0,0.0,0.0,21608.8653857755,1.24566393321327,0.0,18.4750538922354,15.6344894862863,19.8459380746885,20.3511577442882,18.5363390149375,19.8456014225775,19.3340483206228,18.4208996894319,10.4165328772933,18.0127764916822,10.435860287167,-1.20168104704959,-1.85798320173757,-3.70932864876369,-1.40460356984382,-3.11578203609022,-1.07712962155611,-1.17388980600668,-1.13960230115154,-3.10773284236781,-1.40712435659613,-3.1256934928554 
 09/02  06:00:00,6.1,98.,0.2,0.0,0.0,0.0,20539.5493834602,1.24870436473622,0.0,18.4362061097786,15.842971428366,19.7908131007968,20.2486152827084,20.2541409049043,19.7274360448539,19.2365885136644,18.9859505987748,10.0942003545081,18.0010643168032,9.8939937494592,-1.21039955210909,-1.97797951091794,-3.60966066540584,-1.44211400681908,-3.79781956235266,-1.12509336863115,-1.20343110737637,-1.32706694297593,-3.27133075586973,-1.44872510634893,-3.24377536131003 
 09/02  07:00:00,5.5,100.,0.2,0.0,0.0,0.0,19622.9103670462,1.25163716047504,0.0,18.391203027011,15.443308494738,19.7873153188152,20.1187123996658,19.05511570242,19.5854762684491,19.1058555049172,18.251844470531,9.41412603687497,18.0003421201321,9.33566837262367,-1.21995450922954,-1.96863506812038,-3.62173530175812,-1.46954524296622,-3.46296026091955,-1.16484329597924,-1.22504179612235,-1.2662092025736,-3.37298774963349,-1.46926043628724,-3.3761099979963 
 09/02  08:00:00,7.2,100.,0.3,0.0,47.,163.,23138.8791349275,1.24140748030528,0.0,18.4940206316559,15.5337594238071,19.8439353603932,19.7945042059344,19.5627692859333,19.3935136398148,17.959811498204,18.4571601236714,10.1075802851072,18.0000733677867,11.9085094059786,-1.23027602055583,-2.0264420013941,-3.61749499025011,-1.49451624642466,-3.7130853832005,-1.15386966233311,-1.24117151045903,-1.36456500980275,-3.41158104036568,-1.46592244508991,-3.27579390660661 
 09/02  09:00:00,8.8,92.,0.5,50.,97.,471.,25181.7180214627,1.23403798920273,0.0,18.5815430047366,15.649542742539,19.083029873828,19.1851541889202,19.084662165279,19.2239114903513,17.7821783000959,18.1239836882384,12.681023095083,18.0000255934335,17.2336014570126,-1.21436427260746,-2.00289204109496,-3.59490832434397,-1.54081850427471,-3.5775215941525,-1.06515800140218,-1.39371158811048,-1.3281898487822,-3.05282799376418,-1.43823949629339,-2.31462257318282 
 09/02  10:00:00,10.4,83.,0.7,50.,136.,610.,26901.3505988324,1.22578684994881,0.0,18.6577884479902,16.0297896357767,19.7134175328719,19.6939062943526,19.0165331918323,20.0487450699213,18.0205171084379,18.6148586401848,16.1960137844065,17.9998183794486,23.5492798820618,-1.20002489346065,-1.96716740059322,-3.73855326205687,-1.60643421359825,-3.66190757470948,-0.901413173417557,-1.40942120942704,-1.35574506774919,-2.28668414635918,-1.38602979404685,-0.901847520355787 
 09/02  11:00:00,12.1,74.,0.8,50.,188.,586.,28596.9127869554,1.21850712658064,0.0,18.7201589153375,16.2097311888753,19.4503988031572,19.7767988162772,19.8243784496549,20.4421409546953,18.5672228322694,18.651366716441,19.1804370790765,18.7129933562779,28.4145813998629,-1.18650660839339,-1.89034223103366,-3.6052157368442,-1.48564013222774,-3.67549201594624,-0.590572262032487,-1.36191788078241,-1.26476891995392,-1.36262982400335,-1.3134223754307,0.537602463994919 
 09/02  12:00:00,13.7,67.,1.,50.,201.,684.,30330.5173770378,1.21042723445431,0.0,18.7519830108414,16.5341631083239,19.4808497289271,19.6510991679448,19.8608278159068,20.6485976403248,18.6618181203268,19.2530975645441,20.3127536168454,19.5519111396467,33.0905362394146,-1.17434174089523,-1.83973749669638,-3.64915789081087,-1.42172337460882,-3.48654182183465,-0.351633093666799,-1.270176830897,-1.2364260605501,-0.489912355753962,-1.11505847567274,1.77656971255066 
 09/02  13:00:00,15.3,60.,1.2,50.,178.,729.,31842.5753234975,1.20380034886455,0.0,18.8447527438755,16.8741102049739,19.6015840834376,19.9920187886151,19.3459504731927,21.1712192844211,19.1059454422893,19.6663187757048,21.7969541561785,20.0687251944862,36.8863800732024,-1.16588935992692,-1.76836513791274,-3.62918998909711,-1.39138637245002,-3.46200170322638,-0.183821928893976,-1.23997902693748,-1.1309970130893,-1.914783318463154E-02,-0.901123696611312,2.89857732585601 
 09/02  14:00:00,17.,54.,1.3,50.,231.,576.,33640.4597384004,1.19550692183785,0.0,18.9551657603582,17.2056143335541,19.7517802703583,20.2659925333021,19.0432777881839,21.5137982030136,19.4167571977119,19.750404767645,22.8148613749119,20.9318515263779,38.7176128721716,-1.14804184982195,-1.68786449732033,-3.58790180028808,-1.29677749719517,-3.54719180294723,-2.185635785242784E-02,-1.1523646586986,-1.04542426998716,0.392225606663326,-0.748015002267553,3.65731445682022 
 09/02  15:00:00,18.6,49.,1.5,230.,211.,620.,35328.949907562,1.18890485366937,0.0,19.0658090101913,17.53646787377,19.9203830842421,20.0520665708161,19.7747325149906,27.637121218819,19.570935786101,19.8695248276339,23.2094044559702,21.120119785644,41.4042070849035,-1.12730244001668,-1.60605070499634,-3.53711946249971,-1.20774020621943,-3.6060276097788,0.115716635902955,-1.08665750781755,-1.01202071927369,0.610505816455544,-0.5432044020638,4.26458527453613 
 09/02  16:00:00,17.6,53.,1.2,230.,154.,584.,34576.2699847301,1.19279594447524,0.0,19.0897325309026,17.9015585217768,19.5991812564093,20.6985897640395,19.5075041541605,21.7896813432101,19.7013433792469,20.3444387389076,23.138582138393,21.5527623103298,41.1210172442588,-1.10700102345442,-1.52518821239728,-3.49230499801549,-1.21343775389209,-3.43528584345894,0.989332780446043,-1.05458788847618,-0.980111021781621,0.610751069718704,-0.477723680021091,4.62756418542878 
 09/02  17:00:00,16.5,59.,1.,230.,111.,436.,34109.9253073091,1.19683503181641,0.0,19.1060767343391,17.8796747039418,19.1669315788133,19.8805104716899,19.3455966338526,21.2788677663458,19.5059927975761,19.8723483743434,22.0947128818728,21.6932281370003,38.322104890919,-1.09882241401657,-1.44751246252345,-3.53562422940671,-1.1107425411187,-3.47945082707432,9.501587105178465E-02,-1.02977306887187,-0.906054382164998,0.391660489791663,-0.41837153300952,4.28530821542119 
 09/02  18:00:00,15.5,64.,0.7,230.,56.,187.,33403.9769164989,1.20074605530154,0.0,19.0870274617143,17.8499696679302,18.7274010617166,19.7215974284376,19.0389768390068,20.8597555004784,19.1121782522905,19.6758758054429,20.8682990247332,21.5309798502666,33.50221325421,-1.09251892408491,-1.4329153554421,-3.613140785665,-1.24684579431443,-3.49577872352186,-0.108586735039375,-1.05724191835006,-0.966427063458424,-6.381488128892128E-02,-0.4294590364044,3.25930472537285 
 09/02  19:00:00,14.5,70.,0.5,230.,0.0,0.0,32846.1553506807,1.2045718276017,0.0,19.0067638949692,17.9371101889094,18.8481519739622,20.2455791094514,19.0080888391446,21.1886433858375,19.4710176642279,19.918815954015,20.1352458716648,21.3732636210119,28.5358155476297,-1.09199378461138,-1.42941980352664,-3.68234376579837,-1.29146562556933,-3.53793327557331,-0.277892565144282,-1.11319070502713,-0.993456065824859,-0.544048468227507,-0.501884151612044,1.96061849627579 
 09/02  20:00:00,13.4,77.,0.2,230.,0.0,0.0,32172.6298976184,1.20885622128258,0.0,18.9781321553836,17.8505332662891,18.967301529762,20.1564460589498,19.0206815511752,20.9326961590883,19.3920358637845,19.6982157099154,19.5569185692349,21.1345518920602,24.3282559133285,-1.09728854496112,-1.41340035431606,-3.65048775860526,-1.2141559621742,-3.54767937145424,-0.285063742092352,-1.06003373809268,-0.95639273785368,-0.880121648344335,-0.558669495137635,0.849999687163365 
 09/02  21:00:00,12.4,84.,0.0,0.0,0.0,0.0,31565.9222894716,1.21277519066474,0.0,18.9544224401431,18.0248021598534,18.9269643150757,22.0380373649779,19.1173684191478,22.2927478753151,20.8580815150409,20.6728907032923,17.9711851204805,21.4530998158942,21.6518038802119,-1.09714546624964,-1.4318735930553,-3.60428739249173,-1.22828526305502,-3.53201303638043,-0.367261789298737,-1.07653167328806,-0.990094553491475,-1.13134361682086,-0.628724390319504,-5.233927973363820E-02 
 09/02  22:00:00,11.7,86.,0.0,0.0,0.0,0.0,30420.6579535544,1.21608631677993,0.0,18.9154187427275,17.9267126272119,18.8015633129274,22.2280121236926,19.4572958242298,22.4713730882746,20.9413281505686,20.761893800263,16.7583749698729,21.1535164344346,19.5394481103362,-1.09640742840471,-1.4139997732943,-3.60836296660991,-0.931303059127171,-3.50811779398886,-0.201544050675177,-0.854440500177174,-0.848302347289358,-1.48714831863539,-0.606402082406935,-0.65126566714804 
 09/02  23:00:00,11.,87.,0.0,0.0,0.0,0.0,29043.5291518885,1.22080484272919,0.0,18.8733171451151,17.4448139586036,18.2825596110257,22.4159043317752,19.4305443918208,22.5655355000534,21.1298272892111,19.5190902529242,15.6885586200002,20.8876912540338,17.990806078209,-1.09824232960465,-1.43687559147362,-3.63530848247202,-0.904258204559857,-3.41318121818083,-0.207290432296182,-0.837208291877392,-0.835767053221947,-1.75967851894806,-0.676592571659573,-1.11098347467688 
 09/02  24:00:00,10.3,89.,0.0,0.0,0.0,0.0,27900.9325643127,1.22415166392766,0.0,18.8407180929866,17.3339638355915,18.7536958616223,22.3484399076356,19.0189240998287,22.3929078761204,21.0756334933553,19.4235805911518,14.8554515582165,20.5946495849189,16.6676294809508,-1.09957040968881,-1.51607888713562,-3.72897829793145,-0.878311643966979,-3.41651296447037,-0.226339559812397,-0.806458155355036,-1.01371898437082,-1.99631827344306,-0.739889692004645,-1.46013227239437 
 09/03  01:00:00,9.6,90.,0.0,0.0,0.0,0.0,26565.8693294135,1.22766477458953,0.0,18.8044361508186,17.1418313509938,18.4770688906532,22.263507074547,18.855410543777,22.1818697516543,21.0055954795099,19.3324827327418,14.0930774072112,20.3175768501783,15.6149534676382,-1.10426222043762,-1.54654136907294,-3.63634605417439,-0.896317956889025,-3.5067186458103,-0.285506108033081,-0.814062383891818,-1.03564767117351,-2.19089918379811,-0.807881633541832,-1.75934006203721 
 09/03  02:00:00,8.9,92.,0.0,0.0,0.0,0.0,25428.4555353831,1.2310424131823,0.0,18.7651450418079,17.0115854623174,18.0062858023599,22.1660398316386,19.8743122874696,22.0079016106392,20.923560333855,19.4396300474836,13.4125665173194,20.035421291565,14.677639231257,-1.11094705818027,-1.5905368220117,-3.74511314293359,-0.918947874690749,-3.56361215924828,-0.351064054240205,-0.826157977058533,-1.05681382256328,-2.37020730950611,-0.873101071427827,-2.00585694575436 
 09/03  03:00:00,8.3,93.,0.0,0.0,0.0,0.0,24312.8286134232,1.23528661007727,0.0,18.7274609576911,16.7721406301866,18.4103369108287,22.0580458259025,19.1747436460869,21.8514051474628,20.8358904174694,19.1121748017475,12.7931924749182,19.7757329890818,13.9486143261357,-1.11874530071528,-1.62925625133679,-3.88129423373147,-0.943815585590247,-3.35121788768456,-0.407832114804239,-0.840123293663553,-1.05686496201671,-2.52870979168042,-0.937707308946741,-2.21656674898278 
 09/03  04:00:00,7.6,95.,0.0,0.0,0.0,0.0,23181.1566247537,1.23869580955272,0.0,18.692088400857,16.5973444328771,18.3188234601414,21.9008735108275,19.0935877904503,21.6447887173124,20.697109983736,19.0344330651374,12.2203513179999,19.50728986005,13.1821021771421,-1.12767773766748,-1.68391890790094,-3.77545173523564,-0.972011307089971,-3.51357353819752,-0.464503206855394,-0.856823787323982,-1.109326392896,-2.6753317927571,-0.999353576105855,-2.39528739397916 
 09/03  05:00:00,6.9,97.,0.0,0.0,0.0,0.0,22050.2006799547,1.24212200610048,0.0,18.6416836099282,16.4456218634243,17.8241054424629,21.7710611617917,19.7170976304352,21.4753317809054,20.5769917252538,19.1818902316316,11.7242516164033,19.2457549020803,12.4804667317824,-1.13711397877307,-1.72810515139425,-3.83353205504647,-1.01060754800908,-3.54420064859684,-0.529243677425898,-0.883622765283705,-1.13077959962182,-2.81409009586422,-1.06262079506114,-2.57524569557858 
